,headline,clicks,impressions,click_rate,processed_headline_nostpw,processed_headline_stpw,headline_tokens,entities
75,industry highest rates sexual harassment lot young women work it ,23.0,3048.6666666666665,132.55072463768116,industry highest rates sexual harassment lot young women work,industry highest rates sexual harassment lot young women work it ,industry highest rates sexual harassment lot young women work it ,[women]
76,truth ferguson case people acknowledge,86.4,3076.4,35.60648148148148,truth ferguson case people acknowledge,truth ferguson case people acknowledge ,truth ferguson case people acknowledge,[people]
77,little girl's disease totally manageable bad lives wrong country ,18.0,3630.0,201.66666666666666,little girl's disease totally manageable bad lives wrong country,little girl's disease totally manageable bad lives wrong country ,little girl's disease totally manageable bad lives wrong country ,[disease]
78,first statistic shocking second sickening that's makes story striking ,27.0,4275.0,158.33333333333334,first statistic shocking second sickening that's makes story striking,first statistic shocking second sickening that's makes story striking ,first statistic shocking second sickening that's makes story striking ,"[sickening, that]"
79,next time dismiss chores here s something important remember,36.0,3025.0,84.02777777777777,next time dismiss chores something important remember,next time dismiss chores here s something important remember ,next time dismiss chores here s something important remember,[time]
80,walked classroom saw something terrible took seat anyway stood back up ,53.333333333333336,3224.1111111111113,60.452083333333334,walked classroom saw something terrible took seat anyway stood back,walked classroom saw something terrible took seat anyway stood back up ,walked classroom saw something terrible took seat anyway stood back up ,"[classroom, something]"
81,depression teens looks almost nothing like depression adults,44.05,3659.2,83.06923950056753,depression teens looks almost nothing like depression adults,depression teens looks almost nothing like depression adults ,depression teens looks almost nothing like depression adults,[teens]
82,father wrote kid things always remember forget every day ,44.2,3255.6,73.65610859728505,father wrote kid things always remember forget every day,father wrote kid things always remember forget every day ,father wrote kid things always remember forget every day ,[father]
83,white straight man here's super terrible helping rest us ,23.0,3263.0,141.8695652173913,white straight man here's super terrible helping rest us,white straight man here's super terrible helping rest us ,white straight man here's super terrible helping rest us ,[]
84,looks like he's swimming around zoom breath leaves body forever,54.0,3291.1666666666665,60.947530864197525,looks like he's swimming around zoom breath leaves body forever,looks like he's swimming around zoom breath leaves body forever ,looks like he's swimming around zoom breath leaves body forever,[he]
85, china iran iraq saudi arabia north korea usa ,24.625,3240.375,131.58883248730965,china iran iraq saudi arabia north korea usa, china iran iraq saudi arabia north korea usa , china iran iraq saudi arabia north korea usa ,[]
86,babies learn quickly smartphones really make smarter ,6.0,3289.0,548.1666666666666,babies learn quickly smartphones really make smarter,babies learn quickly smartphones really make smarter ,babies learn quickly smartphones really make smarter ,"[babies, smartphones]"
87,baby social media account might want wait use it ,4.0,3243.0,810.75,baby social media account might want wait use,baby social media account might want wait use it ,baby social media account might want wait use it ,"[account, wait]"
88, every prisoners world country wish could say surprised ,49.0,3229.0,65.89795918367346,every prisoners world country wish could say surprised, every prisoners world country wish could say surprised , every prisoners world country wish could say surprised ,"[country, wish]"
89,cop stops black man walking hands pockets interesting conversation ensues ,101.0,3049.0,30.18811881188119,cop stops black man walking hands pockets interesting conversation ensues,cop stops black man walking hands pockets interesting conversation ensues ,cop stops black man walking hands pockets interesting conversation ensues ,"[cop, hands]"
90,long hair bet sick strangers telling toddler did ,70.75,3045.25,43.042402826855124,long hair bet sick strangers telling toddler,long hair bet sick strangers telling toddler did ,long hair bet sick strangers telling toddler did ,"[hair, strangers]"
91,turns out kid using ipad android good idea here s why ,34.0,2995.0,88.08823529411765,turns kid using ipad android good idea,turns out kid using ipad android good idea here s why ,turns out kid using ipad android good idea here s why ,[]
92,there's really intense reasons babies looking ipads,26.0,3015.0,115.96153846153847,there's really intense reasons babies looking ipads,there's really intense reasons babies looking ipads ,there's really intense reasons babies looking ipads,[]
93,wondering talk black people white people here's things keep mind,38.0,2919.9,76.83947368421053,wondering talk black people white people here's things keep mind,wondering talk black people white people here's things keep mind ,wondering talk black people white people here's things keep mind,[things]
94,thought living jeep bad saw k student loan debt,27.142857142857142,3103.714285714286,114.34736842105264,thought living jeep bad saw k student loan debt,thought living jeep bad saw k student loan debt ,thought living jeep bad saw k student loan debt,[jeep]
95,put guys room made argue passive aggressively seconds,42.27272727272727,3857.9545454545455,91.26344086021506,put guys room made argue passive aggressively seconds,put guys room made argue passive aggressively seconds ,put guys room made argue passive aggressively seconds,"[room, argue]"
96,sorry toymakers mass producing warped body image he's got paintbrush knows use,38.0,3493.0,91.92105263157895,sorry toymakers mass producing warped body image he's got paintbrush knows use,sorry toymakers mass producing warped body image he's got paintbrush knows use ,sorry toymakers mass producing warped body image he's got paintbrush knows use,"[toymakers, paintbrush]"
97,maybe everyone can't barbie like this everyone see barbie,53.0,3454.0,65.16981132075472,maybe everyone can't barbie like everyone see barbie,maybe everyone can't barbie like this everyone see barbie ,maybe everyone can't barbie like this everyone see barbie,"[everyone, everyone]"
98, years ago doctor published study completely made up made us sicker ,70.83333333333333,3655.5,51.607058823529414,years ago doctor published study completely made made us sicker, years ago doctor published study completely made up made us sicker , years ago doctor published study completely made up made us sicker ,"[doctor, study, us]"
99, years ago doctor published study lots people swear by problem is fake ,59.0,3716.0,62.983050847457626,years ago doctor published study lots people swear problem fake, years ago doctor published study lots people swear by problem is fake , years ago doctor published study lots people swear by problem is fake ,"[doctor, people]"
100,you ll never forget i dream speech kids go history too ,24.166666666666668,3046.3333333333335,126.0551724137931,never forget dream speech kids go history,you ll never forget i dream speech kids go history too ,you ll never forget i dream speech kids go history too ,"[you, i, kids]"
101,every flash mob guts did woah ,77.8,3058.2,39.30848329048843,every flash mob guts woah,every flash mob guts did woah ,every flash mob guts did woah ,[guts]
102,let rape survivor tell story took steps backward ,31.076923076923077,3050.5384615384614,98.16089108910892,let rape survivor tell story took steps backward,let rape survivor tell story took steps backward ,let rape survivor tell story took steps backward ,"[survivor, story]"
103,easily avoid every new parent s worst nightmare,20.0,3059.0,152.95,easily avoid every new parent worst nightmare,easily avoid every new parent s worst nightmare ,easily avoid every new parent s worst nightmare,[]
104,football player hit wife video america saw it america's telling do ,34.38461538461539,3420.4615384615386,99.47651006711409,football player hit wife video america saw america's telling,football player hit wife video america saw it america's telling do ,football player hit wife video america saw it america's telling do ,"[player, america, it, telling]"
105,meet people actually want go prison shocked why not ,40.0,3470.0,86.75,meet people actually want go prison shocked,meet people actually want go prison shocked why not ,meet people actually want go prison shocked why not ,"[people, prison]"
106,th biggest illegal industry world years destroy,65.0,3460.0,53.23076923076923,th biggest illegal industry world years destroy,th biggest illegal industry world years destroy ,th biggest illegal industry world years destroy,[]
107,freak map infectious diseases world good stuff know ,19.666666666666668,4051.3333333333335,206.0,freak map infectious diseases world good stuff know,freak map infectious diseases world good stuff know ,freak map infectious diseases world good stuff know ,[stuff]
108,trendy jewelry grandfather's life's work wait ,9.0,3253.0,361.44444444444446,trendy jewelry grandfather's life's work wait,trendy jewelry grandfather's life's work wait ,trendy jewelry grandfather's life's work wait ,[work]
109,girl skipped school good reason definitely hasn t seen numbers,28.0,3178.0,113.5,girl skipped school good reason definitely seen numbers,girl skipped school good reason definitely hasn t seen numbers ,girl skipped school good reason definitely hasn t seen numbers,[girl]
110,threatened called traitor doctor ,14.0,3167.0,226.21428571428572,threatened called traitor doctor,threatened called traitor doctor ,threatened called traitor doctor ,[]
111,give girl book strange wonderful things start happen watch ,14.0,3263.0,233.07142857142858,give girl book strange wonderful things start happen watch,give girl book strange wonderful things start happen watch ,give girl book strange wonderful things start happen watch ,[]
112,little reminder white folks see facebook talking race cops,52.0,3255.0,62.59615384615385,little reminder white folks see facebook talking race cops,little reminder white folks see facebook talking race cops ,little reminder white folks see facebook talking race cops,[folks]
113,numbers tell us girl lucky enough go school skipping class,15.0,3068.0,204.53333333333333,numbers tell us girl lucky enough go school skipping class,numbers tell us girl lucky enough go school skipping class ,numbers tell us girl lucky enough go school skipping class,[numbers]
114,asked bullying gave exactly answer deserved,61.0,4775.166666666667,78.28142076502732,asked bullying gave exactly answer deserved,asked bullying gave exactly answer deserved ,asked bullying gave exactly answer deserved,[bullying]
115,girl asks tv star adorable question growing up answer sweet perfect ,35.0,3038.0,86.8,girl asks tv star adorable question growing answer sweet perfect,girl asks tv star adorable question growing up answer sweet perfect ,girl asks tv star adorable question growing up answer sweet perfect ,[girl]
116,people say but riots show,47.0,3044.75,64.78191489361703,people say riots show,people say but riots show ,people say but riots show,"[people, riots]"
117,many girls around world better life could easy abc literally,22.0,3031.0,137.77272727272728,many girls around world better life could easy abc literally,many girls around world better life could easy abc literally ,many girls around world better life could easy abc literally,[girls]
118,there s nothing funny ferguson parody makes hard laugh ,31.0,3126.0,100.83870967741936,nothing funny ferguson parody makes hard laugh,there s nothing funny ferguson parody makes hard laugh ,there s nothing funny ferguson parody makes hard laugh ,[]
119,something alive moving half water oceans,30.4,3038.8,99.96052631578948,something alive moving half water oceans,something alive moving half water oceans ,something alive moving half water oceans,[]
120,typical 'inspiration porn' story man disability reality ,27.0,3036.0,112.44444444444444,typical 'inspiration porn' story man disability reality,typical 'inspiration porn' story man disability reality ,typical 'inspiration porn' story man disability reality ,[]
121,went white house summit student travel liked heard,5.8,2139.4,368.86206896551727,went white house summit student travel liked heard,went white house summit student travel liked heard ,went white house summit student travel liked heard,[liked]
122,imagine someone asking you why way are watch person answer perfectly ,22.833333333333332,3042.0,133.22627737226279,imagine someone asking way watch person answer perfectly,imagine someone asking you why way are watch person answer perfectly ,imagine someone asking you why way are watch person answer perfectly ,"[someone, person]"
123,anti abortion protestors learn abortion facts justifiably angry pregnant woman,77.1,3799.7,49.282749675745784,anti abortion protestors learn abortion facts justifiably angry pregnant woman,anti abortion protestors learn abortion facts justifiably angry pregnant woman ,anti abortion protestors learn abortion facts justifiably angry pregnant woman,[protestors]
124,here's good reason eat bacon want almost every day week,44.6,3054.4,68.48430493273543,here's good reason eat bacon want almost every day week,here's good reason eat bacon want almost every day week ,here's good reason eat bacon want almost every day week,[reason]
125,seen face made realized evil companies making money,44.4,3059.0,68.8963963963964,seen face made realized evil companies making money,seen face made realized evil companies making money ,seen face made realized evil companies making money,[face]
126,celebrity like samuel l jackson puts there know going big ,42.0,3068.0,73.04761904761905,celebrity like samuel l jackson puts know going big,celebrity like samuel l jackson puts there know going big ,celebrity like samuel l jackson puts there know going big ,[celebrity]
127,celebrity like samuel l jackson puts there know going go big,47.2,3051.6,64.65254237288136,celebrity like samuel l jackson puts know going go big,celebrity like samuel l jackson puts there know going go big ,celebrity like samuel l jackson puts there know going go big,[celebrity]
128,one ever built resort grand canyon guys first ,23.0,3136.0,136.34782608695653,one ever built resort grand canyon guys first,one ever built resort grand canyon guys first ,one ever built resort grand canyon guys first ,[one]
129,usually good use toys help kids fit in scientist found right way it ,27.0,3073.0,113.81481481481481,usually good use toys help kids fit scientist found right way,usually good use toys help kids fit in scientist found right way it ,usually good use toys help kids fit in scientist found right way it ,"[toys, kids]"
130,ever wondered love actually looks like i'd suggest take gander women,34.0,3373.5,99.22058823529412,ever wondered love actually looks like i'd suggest take gander women,ever wondered love actually looks like i'd suggest take gander women ,ever wondered love actually looks like i'd suggest take gander women,"[love, i]"
131,spanking kid might best thing want succeed life,34.375,3042.5,88.50909090909092,spanking kid might best thing want succeed life,spanking kid might best thing want succeed life ,spanking kid might best thing want succeed life,"[kid, thing]"
132,challenge watch see love every time look other ,30.0,2893.0,96.43333333333334,challenge watch see love every time look,challenge watch see love every time look other ,challenge watch see love every time look other ,[watch]
133, years ago must've the real thing ladies be ,23.0,2811.0,122.21739130434783,years ago must've real thing ladies, years ago must've the real thing ladies be , years ago must've the real thing ladies be ,[ladies]
134,brilliant scientist created coolest toy ever kid feel left,43.09090909090909,2946.0,68.36708860759494,brilliant scientist created coolest toy ever kid feel left,brilliant scientist created coolest toy ever kid feel left ,brilliant scientist created coolest toy ever kid feel left,"[scientist, kid]"
135,really happens women ones charge cash,16.4,3568.2,217.57317073170734,really happens women ones charge cash,really happens women ones charge cash ,really happens women ones charge cash,[]
136,tried relate saying brother got filipino nanny pregnant bad idea ,21.0,3513.0,167.28571428571428,tried relate saying brother got filipino nanny pregnant bad idea,tried relate saying brother got filipino nanny pregnant bad idea ,tried relate saying brother got filipino nanny pregnant bad idea ,[brother]
137,find fastest saddest way shrink child's heart literally ,38.6,4773.8,123.67357512953367,find fastest saddest way shrink child's heart literally,find fastest saddest way shrink child's heart literally ,find fastest saddest way shrink child's heart literally ,[]
138,watch coach s locker room speech unlike heard,18.0,3557.25,197.625,watch coach locker room speech unlike heard,watch coach s locker room speech unlike heard ,watch coach s locker room speech unlike heard,[]
139,anything talk us buying strawberries january it s infographic,18.333333333333332,3544.3333333333335,193.32727272727274,anything talk us buying strawberries january infographic,anything talk us buying strawberries january it s infographic ,anything talk us buying strawberries january it s infographic,"[anything, it]"
140,first seconds upsetting that warmed heart ,15.0,3568.6666666666665,237.9111111111111,first seconds upsetting warmed heart,first seconds upsetting that warmed heart ,first seconds upsetting that warmed heart ,[that]
141,think violence women isn t big deal here s thought might come from ,35.25,3563.0,101.07801418439716,think violence women big deal thought might come,think violence women isn t big deal here s thought might come from ,think violence women isn t big deal here s thought might come from ,"[women, deal, thought]"
142, things probably know vaginas,89.42857142857143,4307.428571428572,48.16613418530351,things probably know vaginas, things probably know vaginas , things probably know vaginas,[things]
