,headline
87,when these bright eyed young people shared their secret my stomach dropped 
88,when these bright eyed young people shared their secret my stomach dropped 
89,a bunch of celebs have actually shut up about ebola 
90,i thought they were just sharing their passion then my stomach dropped 
91,when these bright eyed young people shared their secret my stomach dropped 
92,when these seemingly okay individuals shared their secret my stomach dropped 
93,their secret made my stomach drop but it also binds them together 
94,a lot of celebs stare awkwardly at the camera without saying a word here s why they re so quiet 
95,a lot of celebs stare awkwardly at the camera without saying a word here s why they re so quiet 
96,a lot of celebs stare awkwardly at the camera without saying a word here s why they re so quiet 
97,a lot of celebs stare awkwardly at the camera without saying a word here s why they re so quiet 
98,this is probably why lgbt kids need to be reminded it gets better 
99,lgbt folks have made a lot of progress except not so much in this one place 
100,if you think anti gay bias is a thing of the past you re probably not a high school student 
101,here s an f word that s hurting a lot more kids than the f word 
102,ben wakes up and goes to his job on capitol hill every morning just like so many others but not 
103,he says he does his job like any other person but he s the only one 
104,tolerance in washington it s true i swear meet ben 
105,he s of only who has ever worked on capitol hill 
106, years ago a tv show got very very daring it took a ton of guts to air this scene 
107,a year old came out to his best bro and the response gave me all the feels 
108, years ago a tv show got very very daring it took a ton of guts to air this scene 
109,a reading of dinner with monoliths by joseph lamour 
110,how the first dinner i had with a boyfriend and my parents went 
111,a music video with all of my favorite people and they re not even real people 
112,how one artist made his parents more uncomfortable than they ve ever been before 
113,they gave each kid a barbie and a doll with real proportions what they say next really says it all 
114,a year old came out to his best bro and the response gave me all the feels 
115,a man groped her when she was walking down the street but that s not why she s angry 
116,finally something that makes sense coming out of ferguson from the mouths of children 
117,how some old records and spray paint became the foundation for a movement that changed the world 
118,it never occurred to me that you could explain economic inequality with air travel this guy did it 
119,david suzuki blasts canadian mounties after they arrest his grandson 
120,cops thought the black teen had a rocket launcher so neil taught them all a lesson 
121,your doctor asks you this question all the time why can t you ever answer it 
122,you may find these things gross but wait til you see what they can do 
123,poverty yes kids running amok yes healthy fresh vegetables actually yes 
124,allow this fuzzy pink puppet to tell you the story of her trek across the abortion desert 
125,a mother daughter movement that literally inspires the pants off people 
126,feeling down here s how to make every minute of your day amazing 
127,talking about money is hard owing money is harder doing what they did is hardest do it anyway 
128,this industry has the highest rates of sexual harassment and a lot of our young women work in it 
129,the truth about the ferguson case that most people won t acknowledge 
130,the truth about the ferguson case that most people won t acknowledge 
131,this little girl s disease is totally manageable too bad she lives in the wrong country 
132,the first statistic is shocking the second sickening but that s what makes her story so striking 
133,the next time you dismiss your chores here s something important to remember 
134,she walked in the classroom saw something terrible and took her seat anyway then she stood back up 
135,depression in teens looks almost nothing like depression in adults 
136,a father wrote his kid things to always remember and i forget of them every day 
137,are you white or straight or a man here s how not to be super terrible at helping the rest of us 
138,it looks like he s just swimming around but then we zoom out and my breath leaves my body forever 
139, china iran iraq saudi arabia north korea usa 
140, china iran iraq saudi arabia north korea usa 
141, china iran iraq saudi arabia north korea usa 
142, china iran iraq saudi arabia north korea usa 
143,babies learn quickly but do smartphones really make them smarter 
144,does your baby have their own social media account you might want to wait for them to use it 
145, out of every prisoners in the world are from country wish i could say i was surprised 
146,a cop stops a black man for walking with his hands in his pockets interesting conversation ensues 
147,have long hair i bet you re sick of strangers telling you to do what this toddler just did 
148,turns out your kid using an ipad or android is not a good idea here s why 
149,there s some really intense reasons why babies shouldn t be looking at ipads 
150,if you re wondering how to talk about black people and white people here s things to keep in mind 
151,he thought living in his jeep was bad until he saw his k student loan debt 
152,they put guys in a room and made them argue passive aggressively for seconds or so 
153,sorry toymakers mass producing warped body image he s got a paintbrush and he knows how to use it 
154,maybe everyone can t have a barbie like this but everyone should see this barbie 
155,they put guys in a room and made them argue passive aggressively for seconds or so 
156,they put guys in a room and made them argue passive aggressively for seconds or so 
157, years ago a doctor published a study it was completely made up and it made us all sicker 
158, years ago a doctor published a study that lots of people swear by problem is it was a fake 
159, years ago a doctor published a study it was completely made up and it made us all sicker 
160, years ago a doctor published a study it was completely made up and it made us all sicker 
161,you ll never forget the i have a dream speech these kids should go down in history too 
162,not every flash mob has the guts to do what they did woah 
163,not every flash mob has the guts to do what they did woah 
164,they let a rape survivor tell her story but then they took steps backward 
165,they let a rape survivor tell her story but then they took steps backward 
166,how to easily avoid every new parent s worst nightmare 
167,a football player hit his wife on video america saw it and now america s telling her what to do 
168,a football player hit his wife on video america saw it and now america s telling her what to do 
169,a football player hit his wife on video america saw it and now america s telling her what to do 
170,meet some people who actually want you to go to prison you ll be shocked at why or not 
171,it s the th biggest illegal industry in the world and in years it will destroy itself 
172,a football player hit his wife on video america saw it and now america s telling her what to do 
173,don t freak out at this map on infectious diseases in the world it s good stuff to know 
174,what does trendy jewelry have to do with her grandfather s life s work just you wait 
175,any girl who has skipped school for no good reason definitely hasn t seen these numbers 
176,she s been threatened and called a traitor all for being a doctor 
177,give a girl a book and strange and wonderful things start to happen just watch 
178,a little reminder for some of the white folks i see on facebook talking about race and cops 
179,some numbers tell us why any girl lucky enough to go to school shouldn t be skipping class 
180,when she asked him about bullying he gave her exactly the answer she deserved 
181,a girl asks a tv star an adorable question about growing up his answer is so sweet and perfect 
182,when people say but what about the riots just show them this 
183,for many girls around the world a better life could be as easy as and abc literally 
184,there s nothing funny about ferguson but this parody makes it hard not to laugh 
185,something alive is moving about half of the water in the oceans 
186,this is not your typical inspiration porn story about a man with a disability this is reality 
187,i went to the white house summit on student travel and i liked what i heard 
188,imagine someone asking you why are you the way you are watch this person answer it perfectly 
189,imagine someone asking you why are you the way you are watch this person answer it perfectly 
190,some anti abortion protestors learn some abortion facts from a justifiably angry pregnant woman 
191,some anti abortion protestors learn some abortion facts from a justifiably angry pregnant woman 
192,here s a good reason to eat all the bacon you want almost every day of the week 
193,you should have seen the face i made when i realized how these evil companies are making money 
194,you should have seen the face i made when i realized how these evil companies are making money 
195,if a celebrity like samuel l jackson puts this out there you know it s going to be big 
196,when a celebrity like samuel l jackson puts this out there you know it s going to go big 
197,no one has ever built a resort in the grand canyon will these guys be the first 
198,it s usually not good to use toys to help kids fit in but a scientist found the right way to do it 
199,if you ve ever wondered what love actually looks like i d suggest you take a gander at these women 
200,why spanking your kid might not be the best thing to do if you want them to succeed at life 
201,i challenge you to watch this and not see love every time they look at each other 
202, years ago it must ve been the real thing for these ladies it had to be 
203,a brilliant scientist created the coolest toy ever for this kid so he wouldn t feel left out 
204,a brilliant scientist created the coolest toy ever for this kid so he wouldn t feel left out 
205,a brilliant scientist created the coolest toy ever for this kid so he wouldn t feel left out 
206,what really happens when women are the only ones in charge of the cash 
207,she tried to relate to him by saying that her brother got their filipino nanny pregnant bad idea 
208,find out the fastest and saddest way to shrink a child s heart literally 
209,watch a coach s locker room speech that is unlike any you ve heard before 
210,what really happens when women are the only ones in charge of the cash 
211,what really happens when women are the only ones in charge of the cash 
212,what really happens when women are the only ones in charge of the cash 
213,what really happens when women are the only ones in charge of the cash 
214,if anything can talk us out of buying strawberries in january it s this infographic 
215,if anything can talk us out of buying strawberries in january it s this infographic 
216,if anything can talk us out of buying strawberries in january it s this infographic 
217,the first seconds are just upsetting but after that it warmed my heart 
218,the first seconds are just upsetting but after that it warmed my heart 
219,the first seconds are just upsetting but after that it warmed my heart 
220,the first seconds are just upsetting but after that it warmed my heart 
221,think violence against women isn t a big deal here s where that thought might have come from 
222,think violence against women isn t a big deal here s where that thought might have come from 
223, things you probably didn t know about vaginas 
224, things you probably didn t know about vaginas 
225, things you probably didn t know about vaginas 
226, things you probably didn t know about vaginas 
227, things you probably didn t know about vaginas 
228,been feeling irritable and exceptionally lazy acting like you re drunk here s how to fix that 
229,the first seconds are difficult but after that people made my day 
230,the first seconds are difficult but after that people made my day 
231,the first seconds are difficult but after that people made my day 
232,a brilliant scientist created the coolest toy ever for this kid so he wouldn t feel left out 
233,a brilliant scientist created the coolest toy ever for some kids so they wouldn t feel left out 
234,it s not just hunger anymore there s a bigger badder problem starting to encompass all that 
235,further proof that being born a white man is a bit like hitting the lottery 
236,a tampon commercial that shows just how confusing actual tampon commercials are 
237,if she gets her way poverty stricken children will have better options than what they have now 
238,if you re wondering how to talk about black people and white people here s things to keep in mind 
239,these differing takes on the talk suggest we live in different americas 
240,these differing takes on the talk suggest we live in different americas 
241,a tampon commercial that shows just how confusing actual tampon commercials are 
242,if you re wondering how to talk about black people and white people here s things to keep in mind 
243,if you re wondering how to talk about black people and white people here s things to keep in mind 
244,if you re wondering how to talk about black people and white people here s things to keep in mind 
245,you re not allowed to make jokes about this holiday anymore thanks 
246,this holiday was invented in but that doesn t mean it s not real okay 
247,the pay gap graphic that shocked the heck out of me 
248,the pay gap graphic that shocked the heck out of me 
249,i didn t realize how wrong baby it s cold outside was until i heard this version 
250, seconds in and suddenly i m doubting everything i thought i knew about the holidays 
251, seconds in and suddenly i m doubting everything i thought i knew about the holidays 
252,everybody does it around the holidays here s why everyone should stop 
253,this professor says we spend of our lives doing something that could hurt us for a good reason 
254,quite possibly the most heartwarming story to come out of all the ferguson sadness 
255,he talks about his dog so matter of factly you almost forget how truly remarkable she is 
256,watch it listen to the guys watch it again listen to the women then listen to the women again 
257,feel kinda down about climate change here s easy way to help 
258,the jokey ad that has people outraged at a popular clothing store 
259,why kim kardashian might want to make some big new year s resolutions 
260,can feminists retire in let s look at the evidence 
261,did you catch all these events and news stories in 
262, ladies having too much fun at the epicenter of a disaster 
263,they re calling this actor and former high school teacher the next harry belafonte i get it 
264,i wish this actor could come to dinner with me and not because he s insanely handsome 
265,a really wild look at what it takes to build a human 
266,when he calls on us to step forward instead of back i want very much to high five this handsome man 
267,if walter white had been walter black and other observations on white privilege in tv 
268,if walter white had been walter black and other observations on white privilege in tv 
269,if walter white had been walter black and other observations on white privilege in tv 
270,if video games were more like real life here s what call of duty might look like 
271,amy schumer plays a realistic video game and has a frighteningly realistic experience 
272,here s a riddle that no one alive today will ever answer but it s still worth a try 
273,a comic that explains exactly how to discuss rape 
274, ladies having too much fun at the epicenter of a disaster 
275,what would the minimum wage be if it kept up all these years i wish the answer were less shocking 
276,i haven t met the people who made this clip but it s one of my top priorities for next year 
277,she tries playing a video game using a female avatar brace yourself you ll be smacked by reality 
278,there s thousands of unreported lynchings in classrooms each year victims are as young as 
279,seeing no good treatments a doctor tried something so crazy it might just work 
280,kids these days are used to hearing a school announcement you d find alarming 
281,patrick gave up on human connection see what a difference sign language class made 
282,a week class to changed patrick s life what he gained is something we all take for granted 
283,this alaskan village should be the role model for american cities 
284,she was the quarterback of her high school football team here s what happened when she came home 
285,after spending time in space this is how he feels about our chances down here 
286,after spending time in space this is how he feels about our chances down here 
287,this doesn t sound like the mlk i learned about in school 
288,if this video existed when i was a kid i might be working for nasa instead of upworthy right now 
289,guess which country totally closed the gender gap guess again 
290, kids say what it means to be a nice person these are genius 
291,this doesn t sound like the mlk i learned about in school 
292,there are no words but it s easy to hear poverty 
293,we made it up but it s still matters and we can change it if we want to 
294,he was unfairly singled out by the cops what he asked for in response is pretty amazing 
295,the bizarre human tendency that drew us to her frightening story reveals so much about humanity 
296, guys were challenged to come up with the gayest song ever here s the result 
297,an actress reveals why it s hard to make films about women who aren t obsessed with men 
298,today s attack in paris probably didn t come out of nowhere 
299,the way stuart scott smacked down a racist espn exec in the s was pure genius 
300,the bizarre human tendency that drew us to her frightening story reveals so much about humanity 
301,a boy said she was too ugly to touch she believed it for years here s what she has to say now 
302,it s remarkable that men have been around all this time and still can t shake the habit 
303,it s remarkable that men have been around all this time and still can t shake the habit 
304,it s remarkable that men have been around all this time and still can t shake the habit 
305,it s remarkable that men have been around all this time and still can t shake the habit 
306,it s remarkable that men have been around all this time and still can t shake the habit 
307,it s remarkable that men have been around all this time and still can t shake the habit 
308,it s remarkable that men have been around all this time and still can t shake the habit 
309,it s remarkable that men have been around all this time and still can t shake the habit 
310,watch an incredible spoken word poem about a little girl facing more borders than anyone can cross 
311,when they left her parents thought she d grow up without fear they were wrong 
312,the story starts when she s a baby and ends when she s every step is just so heartbreaking 
313,her classmates don t know what makes her different but they know how to make it hurt 
314,when she meets with her guidance counselor a devastating reality hits her in the face 
315,meet the girl who s left to deal with decades of built up hostility and prejudice 
316,jon stewart takes on the terrorist attack against charlie hedbo 
317,the things people who make short bus jokes probably don t do 
318,the things people who make short bus jokes probably don t do 
319,jon stewart takes on the terrorist attack on charlie hedbo 
320,jon stewart says what needs to be said about the terrorists who attacked charlie hedbo 
321,the hard facts about a guy issue known as morning wood 
322,i usually can t stand yearly recap videos but the one you re about to see is kleenex worthy 
323,beautiful moving and kleenex worthy i usually hate yearly recap videos but this one s different 
324,a game of thrones star opens up about what she goes through online and my heart hurts 
325,the hard facts about a guy issue known as morning wood 
326,a game of thrones star opens up about what she goes through online and my heart hurts 
327,this school turned everything upside down and the results have got my eyes all wet 
328,after ferguson we all need a movie like selma and guess who s behind it 
329,he s into both dudes and chicks so when he said he d answer their questions he got a ton of them 
330,what happens if you try to kill yourself and survive 
331,what happens when a non dog person meets a pit bull for the first time hint it s not violent 
332,banned from the front row at oprah because they had the wrong eye color really 
333,banned from the front row at oprah because they had the wrong eye color really 
334,what happens if you try to kill yourself and survive 
335,what happens if you try to kill yourself and survive 
336,what happens if you try to kill yourself and survive 
337,at he goes to school gets picked up by his mom oh and saves lives maybe even yours 
338,at he goes to school gets picked up by his mom oh and saves lives maybe even yours 
339,a guy gets stood up by his date then leaves us with a lesson about the pros and cons of wine 
340,one woman speaks honestly about the privilege she has noticed because of her skin color 
341,some people have a really hard time admitting what she admits to here 
342,a celebrity spends minutes talking about how to think about death it s beautiful 
343,a year old asks neil degrasse tyson an adorable question he gives her an awesome answer 
344,new york la and san francisco all have really annoying thing in common 
345,if you give homeless people homes are they still homeless this daily show reporter wants to know 
346,he asks the question times because he just can t believe how this city solved homelessness 
347, ladies having too much fun at the epicenter of a disaster 
348,siblings stuck in the foster care system find beautiful ways to get back together 
349,a brother and a sister live in different homes but can see each other all the time thanks to this 
350,a brother and a sister got split up in the foster system so some folks are trying to help 
351,the stuff siblings in the foster care system have to deal with is awful glad they re getting help 
352,she gave a boy and a girl notebooks and asked them to draw their feelings just came straight out 
353,she gave a boy and a girl notebooks and asked them to draw their feelings just came straight out 
354,how many miles would you walk for the right to vote it s years later but we need to remember 
355,he asks the question times because he just can t believe how this city solved homelessness 
356,watch the nd guy in the first seconds now don t be anything like him 
357,yeah it s fake really really fake but it s so important 
358,watch the nd guy in the first seconds now don t be anything like him 
359,watch the nd guy in the first seconds now don t be anything like him 
360,watch the nd guy in the first seconds now don t be anything like him 
361,why s this guy struggling to get a date the reason is beyond gross 
362,this researcher thinks he knows why your boss is a jerk 
363,watch a supercut showing why red carpet coverage should be ashamed of itself 
364,a farmer started talking about saving water until water poured from his eyes that s when a shark bit 
365,a farmer started talking about saving water until water poured from his eyes that s when a shark bit 
366,some might see these ladies as novelties but they re as real as it gets just ask em 
367,when billie holiday performed this song live they never allowed an encore 
368,i thought i had seen it all until alabama started taking pregnant teens to court 
369,a dangerous form of therapy that believe it or not is legal in states 
370,a dangerous form of therapy that believe it or not is legal in states 
371,a dangerous form of therapy that believe it or not is legal in states 
372,a group of black men ask a question that sums up so many problems in our society 
373,this scares the hell out of me world leaders are about to give away the keys to the internet 
374,where some people see individual trees struggling to survive she sees a thriving connected family 
375,this scares the hell out of me world leaders are about to give away the keys to the internet 
376,i know you ve heard this song but have you ever really tried to imagine it 
377,one of the biggest enemies to feminism is not a person it s printed on cheap paper 
378,bieber s junk was splashed over the net here s why his junk was the least offensive part 
379,who s really to blame for the ridiculous amounts of trash we produce 
380,ha good luck getting any of these fantastic women to care what you think 
381,a climber musician programmer pilot calligrapher and journalist with badass thing in common 
382,you may not know about these awesome women yet but minutes from now you ll be glad you do 
383,exactly thing affects your happiness more than anything else no matter who you are 
384,a dangerous form of therapy that believe it or not is legal in states 
385,a dangerous form of therapy that believe it or not is legal in states 
386,a doctor s advice for inner happiness is so easy i wasn t a believer until i tried it 
387,they were sentenced to prison for marrying each other but then they fought back 
388,why are these tv award winners such a big deal take a closer look 
389,why are these tv award winners such a big deal take a closer look 
390,why are these tv award winners such a big deal take a closer look 
391,they were sentenced to prison for marrying each other you read that right 
392,they were sentenced to prison for marrying each other you read that right 
393,they were sentenced to prison for marrying each other you read that right 
394,they were sentenced to prison for marrying each other you read that right 
395,they were sentenced to prison for marrying each other you read that right 
396,they were sentenced to prison for marrying each other you read that right 
397,he doesn t fit into a single category but that s sure not slowing him down 
398,why of her potential boyfriends broke up with her 
399,a wrestler is helping people see that anyone can be a feminist 
400,he doesn t fit into a single category but that s sure not slowing him down 
401,he doesn t fit into a single category but that s sure not slowing him down 
402, of job success is predicted by something other than iq 
403, of job success is predicted by something other than iq 
404,there have been a lot of studies on fluoride in the water here s all the scary stuff they found 
405,you can rewire your brain in minutes a day without an app 
406,here s a talk on how to be amazing at work there s a chance you will share it with your boss 
407,they were bullied and two words were just part of it now they are turning the tables in their town 
408,the carnegies and rockefellers tried to silence him with jail time that didn t work so well 
409,after seeing his mom harassed by men this little kid decided to send a big message out to the world 
410,this harvard guy loves studying weirdos hear what he s learned so far in this popular ted talk 
411,at first he believed too but now when he talks about the lambs he has to choke back tears 
412,our taxes are going toward the cruelest treatment of animals you d never want to imagine 
413,watch how this woman plans on turning black history month into a drinking game 
414,he was about to die so they took him to the er but not the next time or the time after why 
415,he was about to die so they took him to the er but not the next time or the time after why 
416,the guy behind the edward snowden leaks asks a really obvious question we need to answer 
417,you d think parents would want their kids to do their exams not these they ve got a good reason 
418,when some see his hands they may hesitate but soon all they can say is how did they do that 
419,she s not a plus size model she s a model and she s in the sports illustrated swimsuit edition 
420,tens of thousands of animals have been unlucky enough to come here how do these people sleep 
421,she doesn t just kick butt on tv she s involved in helping rape victims in real life too 
422,thousands of animals have been unlucky enough to find themselves here how do these people sleep 
423,deciding to work together was everything now they re one big caffeinated family 
424,beyonce had a moment with ed mcmahon that fueled her success but it also hit her differently later 
425,beyonce had a moment with ed mcmahon that fueled her success but it also hit her differently later 
426,a football team is taking their towels off to show men how to check for cancer 
427,they don t just drink it to get through the day it is the day 
428,this epic response to fat people can t be sexy is slightly not safe for work but so worth it 
429,she s discovered a secret about mother trees that will totally change how you think about forests 
430,these huge stars took their big night and made it about this important movement 
431,famous musicians have some awesome messages for teens you should really hear these 
432,that woman is what happiness looks like when you buy it here s how we can avoid being like her 
433,these little guys would be dead without these prisoners hear their story 
434,what s one of the worst ways to motivate someone hint you see it all the time 
435,what s one of the worst ways to motivate someone hint you see it all the time 
436,what s one of the worst ways to motivate someone hint you see it all the time 
437,what s one of the worst ways to motivate someone hint you see it all the time 
438,what s one of the worst ways to motivate someone hint you see it all the time 
439,what s one of the worst ways to motivate someone hint you see it all the time 
440,it took years degrees of separation and game for this guy to accept his friend was gone 
441,this is a surprisingly delightful way to look at death 
442,a basketball game gave him the sign that people we ve lost live in really enlightening ways 
443,after hearing how this guy deals with death i feel like hugging a basketball 
444,they were going to kill this doggie mama instead they sent her to prison 
445,dogs are getting sent to prison and i ain t even mad about it 
446,prison might be the very best place on earth for these furry friends 
447,still hoping climate change will just go away his handy reference will take care of that 
448,still hoping climate change will just go away his handy reference will take care of that 
449,still hoping climate change will just go away he s got an answer for you 
450,if you re wondering how it feels to be a famous black person in white hot hollywood watch this 
451,if you re wondering how it feels to be a famous black person in white hot hollywood watch this 
452,if you re wondering how it feels to be a famous black person in white hot hollywood watch this 
453,if you re wondering how it feels to be a famous black person in white hot hollywood watch this 
454,they were going to kill this doggie mama instead they sent her to a very unlikely home 
455,they were going to kill this doggie mama instead they sent her to prison 
456,they were going to kill this doggie mama instead they sent her to prison 
457,they were going to kill this doggie mama instead they sent her to prison 
458,high school journalists to fox news don t dish it if you can t take it 
459,high school journalists to fox news don t dish it if you can t take it 
460,high school journalists to fox news don t dish it if you can t take it 
461,high school journalists to fox news don t dish it if you can t take it 
462,high school journalists to fox news don t dish it if you can t take it 
463,if you re wondering how it feels to be a famous black person in white hot hollywood watch this 
464,if you re wondering how it feels to be a famous black person in white hot hollywood watch this 
465,say what you will about sean penn ok now listen to this guy talk about race 
466,high school journalists to fox news don t dish it if you can t take it 
467,a bunch of teenagers just owned a big lying cable news network hell yes 
468,teens don t understand what these comments really say to their friends 
469,a charity put her face on a poster and told all of london her secret how would you have handled it 
470,a charity put her face on a poster and told all of london her secret how would you have handled it 
471,when this deaf woman went to starbucks she got a lot more than a tasty frappuccino 
472,she asks for what she wants for valentine s day and gets breathless not like you think though 
473,she asks for what she wants for valentine s day and gets breathless not like you think though 
474,when this deaf woman went to starbucks she got a lot more than a tasty frappuccino 
475,when this deaf woman went to starbucks she got a lot more than a tasty frappuccino 
476,this hilarious skit about race from snl last season should be shown every year 
477,she taught them both in rd grade after they got married one of them interviews her it s so sad 
478, were killed hundreds are missing and some were made slaves but we stay quiet 
479,a minute video for any kid you know who may be depressed 
480,a minute video for any kid you know who may be depressed 
481,a minute video for any kid you know who may be depressed 
482,a minute video for any kid you know who may be depressed 
483,these kids must feel like they re superheroes and really they are 
484,he put inmates in a room with nothing but a camera and asked them to talk about their crimes 
485,it s meant as a compliment but what it really says is you don t fit in 
486,a dog on the verge of death meets a prisoner with no hope 
487,people who work for mcdonald s aren t lovin it so they asked the company some questions 
488, men watch something horrifying that s being done to girls here s how they reacted 
489, men watch something horrifying that s being done to girls here s how they reacted 
490,remember when she ruined the summer camp play wednesday still does what you ve always wanted to do 
491,fox news finally went off on walmart for their shady practices psych 
492,a popular tv show from the s was one of the first to brilliantly call out unfair pay for women 
493,here is the smartest money move we could make how dumb is it that we re not 
494,she rudely asked him for fancy salt what he wanted to say back is hilarious international truth 
495,this comedian makes a hilariously true point about how comfortable we are in first world countries 
496,a popular tv show from the s was one of the first to brilliantly call out unfair pay for women 
497, we re racist we re racist and that s the way we like it they chanted chelsea didn t like it 
498,if you look at her hands you ll see her struggles literally 
499,i thought alan cumming had lost his mind then i watched the video and was so wrong 
500, trans men prove an important point with a simple photo shoot 
501,the big reason that nothing we say to women can stop sexual assault 
502, love letters to survivors of sexual violence the one from the dad made me cry 
503,the oscars have been singing this song to themselves for decades she s singing it out loud 
504,kurt cobain said some pretty insightful things during his short life here are a few of them 
505,at first i found myself singing along then i realized just how messed up the lyrics were 
506,forget food groups there are only foods we mainly eat and that s not a good thing 
507,teens live in a social media world most grownups know almost nothing about 
508,they dug up a malcolm x speech that predicted so much of what s going on today creepy 
509,over years ago young women working in a factory never came home it changed our country 
510,over years ago young women working in a factory never came home it changed our country 
511,watch them completely ignore their family and get a lesson about being homeless 
512,it was a normal day until their family dressed as homeless people to prove a point 
513,he s a cop but still got stopped and frisked times wow 
514,thomas jefferson s fave apple had a very wacky name so where d it go 
515,nearly of our crops have vanished in the last years where the heck did they go 
516,their parents expected a cute musical but the cows left their jaws on the floor 
517,the u s may be rich but here s one way other countries make us look like cheapskates 
518,paid sick days who has them who doesn t and why they re a smart way to fight inequality 
519,this bank doesn t store any money cause what it has is priceless can you guess 
520,the lab coat guy sounds pretty legit but really he s just scaring you into doing what he wants 
521,you yes you likely have pesticides in your body right now find out where they come from 
522,the national frozen pizza institute exists and it s kind of up to no good 
